what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329170579920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329170596780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329170648338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329170648919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329170658076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329170662576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329170663250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329170675478
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329170689465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329170690126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329170702567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329170710901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329170930494
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329170966642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329170967370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329170977342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329171019888
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329171020111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329171021079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329171025763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171026509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171033105
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329171051178
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171051794
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171079989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171111927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171135221
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329171158957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171159624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171173369
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329171184173
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171184775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171212223
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329171250024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171250748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171273973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329171291567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171292263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171308182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329171332096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329171332286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329171379711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171380621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329171392161
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.textEnd",1329171431692
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.textEnd",1329171437371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329171455924
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329171456259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329171472912
